Validator,PT_VERSION,2.12.0
GemmTunableOp_float_TN,tn_2048_2048_28_ld_28_28_2048,Default,0.0508269
GemmTunableOp_float_TN,tn_2048_2048_25_ld_25_25_2048,Default,0.0408787
GemmTunableOp_float_TN,tn_2048_2048_5_ld_5_5_2048,Default,0.0433885
GemmTunableOp_float_TN,tn_512_2048_5_ld_5_5_512,Default,0.0142522
GemmTunableOp_float_TN,tn_2048_2048_29_ld_29_29_2048,Default,0.0477146
GemmTunableOp_float_TN,tn_2048_2048_31_ld_31_31_2048,Default,0.0516166
GemmTunableOp_float_TN,tn_2048_2048_33_ld_33_33_2048,Default,0.0582922
GemmTunableOp_float_TN,tn_2048_2048_32_ld_32_32_2048,Default,0.0472454
GemmTunableOp_float_TN,tn_2048_2048_19_ld_19_19_2048,Default,0.0535978
GemmTunableOp_float_TN,tn_512_2048_19_ld_19_19_512,Default,0.0153376
GemmTunableOp_float_TN,tn_2048_2048_23_ld_23_23_2048,Default,0.049304
GemmTunableOp_float_TN,tn_2048_2048_22_ld_22_22_2048,Default,0.0504685
GemmTunableOp_float_TN,tn_16_1024_2048_ld_2048_2048_16,Default,0.0297078
GemmTunableOp_float_TN,tn_2048_1024_16_ld_16_16_2048,Default,0.0165338
GemmTunableOp_float_TN,tn_512_1024_16_ld_16_16_512,Default,0.00837376
GemmStridedBatchedTunableOp_float_TN,tn_512_512_64_B_64_ld_64_64_512,Default,0.189296
GemmStridedBatchedTunableOp_float_NN,nn_64_512_512_B_64_ld_64_512_64,Default,0.16114
GemmTunableOp_float_TN,tn_2048_1024_2_ld_2_2_2048,Default,0.0206592
GemmTunableOp_float_TN,tn_8192_1024_2_ld_2_2_8192,Default,0.0655626
GemmTunableOp_float_TN,tn_2048_1024_4_ld_4_4_2048,Default,0.020703
GemmTunableOp_float_TN,tn_8192_1024_4_ld_4_4_8192,Default,0.038569
GemmTunableOp_float_NN,nn_2048_1024_1_ld_1_1_2048,Default,0.0135117
GemmTunableOp_float_NN,nn_512_1024_1_ld_1_1_512,Default,0.00629184
GemmTunableOp_float_TN,tn_512_1024_2_ld_2_2_512,Default,0.00765504
GemmTunableOp_float_TN,tn_8192_1024_3_ld_3_3_8192,Default,0.0652883
GemmTunableOp_float_TN,tn_2048_1024_3_ld_3_3_2048,Default,0.020568
GemmTunableOp_float_TN,tn_512_1024_3_ld_3_3_512,Default,0.00845696
GemmTunableOp_float_TN,tn_2048_1024_10_ld_10_10_2048,Default,0.0214378
GemmTunableOp_float_TN,tn_512_1024_10_ld_10_10_512,Default,0.0090368
GemmTunableOp_float_TN,tn_2048_1024_6_ld_6_6_2048,Default,0.0210448
GemmTunableOp_float_TN,tn_512_1024_6_ld_6_6_512,Default,0.00885728
GemmTunableOp_float_TN,tn_2048_1024_5_ld_5_5_2048,Default,0.0206755
GemmTunableOp_float_TN,tn_512_1024_5_ld_5_5_512,Default,0.00868544
GemmTunableOp_float_TN,tn_2048_1024_11_ld_11_11_2048,Default,0.0154845
GemmTunableOp_float_TN,tn_512_1024_11_ld_11_11_512,Default,0.00905952
GemmTunableOp_float_TN,tn_2048_1024_9_ld_9_9_2048,Default,0.021513
GemmTunableOp_float_TN,tn_512_1024_9_ld_9_9_512,Default,0.00900096
GemmTunableOp_float_TN,tn_2048_1024_24_ld_24_24_2048,Default,0.0174112
GemmTunableOp_float_TN,tn_183286_1024_2048_ld_2048_2048_183286,Default,37.9208
GemmTunableOp_float_NN,nn_2048_1024_183286_ld_2048_183286_2048,Default,31.1265
GemmTunableOp_float_NN,nn_8192_1024_2048_ld_8192_2048_8192,Default,1.50367
GemmTunableOp_float_NN,nn_2048_1024_8192_ld_2048_8192_2048,Default,1.38298
GemmTunableOp_float_NN,nn_2048_1024_2048_ld_2048_2048_2048,Default,0.374317
GemmStridedBatchedTunableOp_float_NT,nt_64_512_512_B_64_ld_64_512_64,Default,0.142588
GemmStridedBatchedTunableOp_float_NT,nt_512_64_512_B_64_ld_512_64_512,Default,0.162695
GemmTunableOp_float_NT,nt_16_512_1024_ld_16_512_16,Default,0.00964128
GemmTunableOp_float_NN,nn_16_1024_512_ld_16_512_16,Default,0.0141229
GemmTunableOp_float_NT,nt_2048_16_1024_ld_2048_16_2048,Default,0.0223558
GemmTunableOp_float_NN,nn_2048_1024_16_ld_2048_16_2048,Default,0.0145661
GemmTunableOp_float_NN,nn_2048_1024_512_ld_2048_512_2048,Default,0.123163
GemmTunableOp_float_NT,nt_16_2048_1024_ld_16_2048_16,Default,0.0236326
GemmTunableOp_float_NN,nn_16_1024_2048_ld_16_2048_16,Default,0.0269229
GemmTunableOp_float_TN,tn_2048_1024_13_ld_13_13_2048,Default,0.0156611
GemmTunableOp_float_TN,tn_512_1024_13_ld_13_13_512,Default,0.0103638
GemmTunableOp_float_TN,tn_2048_1024_8_ld_8_8_2048,Default,0.0210195
GemmTunableOp_float_TN,tn_512_1024_8_ld_8_8_512,Default,0.00876768
GemmTunableOp_float_TN,tn_2048_1024_25_ld_25_25_2048,Default,0.0224672
GemmTunableOp_float_TN,tn_2048_1024_7_ld_7_7_2048,Default,0.0211622
GemmTunableOp_float_TN,tn_512_1024_7_ld_7_7_512,Default,0.00890912
GemmTunableOp_float_TN,tn_2048_1024_23_ld_23_23_2048,Default,0.02188
GemmTunableOp_float_NN,nn_6_32_1_ld_6_1_6,Default,0.0064592
GemmTunableOp_float_TN,tn_16_6_2048_ld_2048_2048_16,Default,0.0171709
GemmTunableOp_float_TN,tn_2048_6_16_ld_16_16_2048,Default,0.00631104
GemmTunableOp_float_TN,tn_512_6_16_ld_16_16_512,Default,0.00596
GemmTunableOp_BFloat16_TN,tn_2048_6_4_ld_4_4_2048,Default,0.0061072
GemmTunableOp_BFloat16_TN,tn_8192_6_3_ld_3_3_8192,Default,0.0133395
GemmTunableOp_BFloat16_TN,tn_2048_6_5_ld_5_5_2048,Default,0.0077824
GemmTunableOp_BFloat16_TN,tn_8192_6_5_ld_5_5_8192,Default,0.0121149
GemmTunableOp_BFloat16_NN,nn_2048_6_1_ld_1_1_2048,Default,0.00820928
GemmTunableOp_BFloat16_NN,nn_512_6_1_ld_1_1_512,Default,0.00598208
GemmTunableOp_BFloat16_TN,tn_8192_6_4_ld_4_4_8192,Default,0.0066912
GemmTunableOp_BFloat16_TN,tn_2048_6_2_ld_2_2_2048,Default,0.0061792
GemmTunableOp_BFloat16_TN,tn_512_6_2_ld_2_2_512,Default,0.0060624
GemmTunableOp_BFloat16_TN,tn_2048_6_13_ld_13_13_2048,Default,0.00722048
GemmTunableOp_BFloat16_TN,tn_183286_1_2048_ld_2048_2048_183286,Default,1.18673
GemmTunableOp_float_TN,tn_32_1_1_ld_1_1_1,Default,0.00648416
GemmTunableOp_float_TN,tn_16_1_2048_ld_2048_2048_16,Default,0.0076752
GemmTunableOp_float_TN,tn_2048_1_16_ld_16_16_2048,Default,0.00769248
GemmTunableOp_float_TN,tn_512_1_16_ld_16_16_512,Default,0.00648224
GemmTunableOp_BFloat16_NN,nn_2048_1_1_ld_1_1_2048,Default,0.00598592
GemmTunableOp_BFloat16_NN,nn_512_1_1_ld_1_1_512,Default,0.00591648
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_3_ld_3_3_2048,Default,0.00612704
GemmTunableOp_BFloat16_NN,nn_8192_1_1_ld_1_1_8192,Default,0.00659104
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_2_ld_2_2_2048,Default,0.00560256
GemmAndBiasTunableOp_BFloat16_TN,tn_512_1_2_ld_2_2_512,Default,0.00565024
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_20_ld_20_20_2048,Default,0.0066112
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_4_ld_4_4_2048,Default,0.00620672
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_11_ld_11_11_2048,Default,0.0063392
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_9_ld_9_9_2048,Default,0.0081808
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_8_ld_8_8_2048,Default,0.00645728
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_7_ld_7_7_2048,Default,0.00554272
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_6_ld_6_6_2048,Default,0.00639872
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_5_ld_5_5_2048,Default,0.0063856
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_23_ld_23_23_2048,Default,0.008536
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_15_ld_15_15_2048,Default,0.0084064
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_10_ld_10_10_2048,Default,0.00847392
GemmAndBiasTunableOp_BFloat16_TN,tn_512_1_3_ld_3_3_512,Default,0.00815584
GemmAndBiasTunableOp_BFloat16_TN,tn_512_1_4_ld_4_4_512,Default,0.00854112
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_13_ld_13_13_2048,Default,0.00696544
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_14_ld_14_14_2048,Default,0.00636928
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_12_ld_12_12_2048,Default,0.00611104
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_18_ld_18_18_2048,Default,0.00662592
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_16_ld_16_16_2048,Default,0.0079712
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_19_ld_19_19_2048,Default,0.00639648
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_17_ld_17_17_2048,Default,0.00796384
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_21_ld_21_21_2048,Default,0.00821792
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_25_ld_25_25_2048,Default,0.00855072
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_26_ld_26_26_2048,Default,0.00827136
